City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,petropavlovsk-kamchatsky,53.0452,158.6483,46.99400000000003,78,75,6.0,RU,1714965673
159,yeraliyev,43.2,51.65,59.97200000000004,53,100,3.49,KZ,1714965861
160,lorengau,-2.0226,147.2712,85.19,77,100,3.72,PG,1714965861
161,east london,-33.0153,27.9116,72.536,40,0,5.14,ZA,1714965861
162,winnemucca,40.973,-117.7357,37.29199999999997,79,100,6.31,US,1714965836
163,tazovsky,67.4667,78.7,21.470000000000027,93,100,5.76,RU,1714965862
164,nyurba,63.2842,118.3319,34.53800000000001,97,100,1.52,RU,1714965862
165,valparaiso,-33.0393,-71.6273,53.23999999999995,66,0,0.0,CL,1714965862
166,saipan,15.1355,145.701,92.10200000000003,55,40,7.2,MP,1714965862
167,ad dilam,23.9915,47.1627,79.214,49,0,2.29,SA,1714965862
168,nizhnevartovsk,60.9344,76.5531,32.01800000000003,80,75,6.0,RU,1714965863
169,thenia,36.7254,3.5567,59.287999999999954,52,51,1.38,DZ,1714965863
170,avarua,-21.2078,-159.775,80.65400000000005,89,75,7.2,CK,1714965671
171,tura,25.5198,90.2201,83.714,56,22,1.23,IN,1714965863
172,cabo san lucas,22.8909,-109.9124,80.906,31,100,4.12,MX,1714965789
173,paramonga,-10.6667,-77.8333,67.51399999999995,88,81,3.32,PE,1714965864
174,cuiaba,-15.5961,-56.0967,78.72800000000001,73,0,1.54,BR,1714965855
175,nizhneangarsk,55.7833,109.55,42.00799999999998,61,48,0.45,RU,1714965864
176,nemuro,43.3236,145.575,45.03199999999998,94,100,1.92,JP,1714965864
177,plastun,44.7561,136.2939,38.012,96,100,3.69,RU,1714965865
178,karatau,43.1667,70.4667,57.59600000000006,82,95,3.24,KZ,1714965865
179,vallenar,-28.5708,-70.7581,59.593999999999994,53,0,0.23,CL,1714965865
180,fisterra,42.9049,-9.2629,46.74199999999996,73,3,1.89,ES,1714965865
181,mahina,-17.5065,-149.489,85.76600000000002,62,40,3.09,PF,1714965865
182,tchintabaraden,15.8969,5.7985,88.69999999999999,18,1,3.28,NE,1714965866
183,puerto ayora,-0.7393,-90.3518,73.54400000000004,97,58,0.89,EC,1714965866
184,ashland,40.8167,-82.2665,62.56400000000002,100,100,3.49,US,1714965866
185,new norfolk,-42.7826,147.0587,60.9260000000001,49,29,0.94,AU,1714965866
186,mount gambier,-37.8333,140.7667,63.71599999999995,50,0,4.33,AU,1714965848
187,al bawiti,28.3492,28.8659,60.494000000000085,64,0,2.75,EG,1714965867
188,prokop'yevsk,53.9059,86.719,48.75799999999998,84,100,4.91,RU,1714965986
189,usinsk,65.9939,57.5281,16.069999999999993,90,25,3.13,RU,1714965986
190,caazapa,-26.15,-56.4,73.094,74,0,2.19,PY,1714965867
191,talnakh,69.4865,88.3972,22.20799999999997,73,100,2.52,RU,1714965867
192,richards bay,-28.783,32.0377,64.76000000000005,81,0,2.08,ZA,1714965868
193,itoman,26.1247,127.6694,86.77399999999994,79,75,6.69,JP,1714965868
194,midvagur,62.0511,-7.1939,45.428,100,100,7.2,FO,1714965987
195,piacabucu,-10.4056,-36.4344,77.89999999999992,89,56,4.97,BR,1714965987
196,walvis bay,-22.9575,14.5053,54.55400000000003,94,0,1.03,NA,1714965869
197,ribeira grande,38.5167,-28.7,64.77800000000008,96,100,8.05,PT,1714965987
198,la ronge,55.1001,-105.2842,48.452000000000055,49,75,2.06,CA,1714965869
199,novo aripuana,-5.1206,-60.3797,75.82999999999998,99,18,1.12,BR,1714965988
200,afaahiti,-17.75,-149.2833,84.07400000000001,86,41,8.7,PF,1714965869
201,al jawf,29.5,38.75,62.023999999999944,42,0,3.48,SA,1714965988
202,kiunga,-6.1219,141.2906,79.19599999999997,87,100,0.86,PG,1714965988
203,aldan,58.6031,125.3894,51.152000000000044,58,56,2.69,RU,1714965988
204,laascaanood,8.4774,47.3597,78.11599999999993,74,90,4.12,SO,1714965989
205,martuk,50.7475,56.5056,44.52800000000002,52,0,4.74,KZ,1714965870
206,yangirabot,40.0254,65.961,65.55200000000008,62,6,3.04,UZ,1714965989
207,susuman,62.7833,148.1667,32.98999999999995,61,81,1.34,RU,1714965989
208,kununurra,-15.7667,128.7333,87.78199999999998,33,21,6.17,AU,1714965989
209,kudahuvadhoo,2.6708,72.8944,85.13600000000002,75,96,4.74,MV,1714965871
210,alaca,40.1683,34.8425,33.74599999999998,97,9,2.06,TR,1714965872
211,nagqu,31.5,92.0,37.903999999999996,46,100,1.05,CN,1714965990
212,papatowai,-46.5619,169.4708,47.912000000000035,57,76,5.98,NZ,1714965990
213,antsiranana,-12.2787,49.2917,76.334,74,11,6.84,MG,1714965990
214,saint-pierre,-21.3393,55.4781,67.6760000000001,56,0,4.12,RE,1714965872
215,hasaki,35.7333,140.8333,72.28399999999993,69,91,11.69,JP,1714965873
216,byron bay,-28.65,153.6167,70.71800000000002,72,71,6.2,AU,1714965991
217,hirara,24.8,125.2833,82.67000000000002,89,75,6.69,JP,1714965873
